dna_code;filtered_dataset;cavity_dataset;nestbox_dataset;explanation;year;nest_type;site;nestbox_id;d15_standardised;d15_1st_brood;nest_id;species;ring_id;weight_d15;tarsus;hatch_date;d15_day;hour;fledged;brood_nr;urban_status;habitat_type;ISA;ISA_group;latitude;longitude;human_presence;temperature;distance_city;light;NDVI;sound;closest_road;closest_path;tree_cover;plate_no;plate_well;index_1;index_2;dna_concentration;total_reads;Sample_or_Control
BM067;yes;yes;yes;NA;2018;BOX;BIB;BIB11;-0.711538542;-0.876580874;161351;BT;K7V4789;11.6;15.8;34;48;10:40;1;1;urban;urban_forest;2.375;low;52.29975;20.95099;0.5;17.38;8468.13;2118.529;0.84443;59.908;132;26.1;50.7973;1;C09;N726;S505;9.9029;4199;Sample
BM001;yes;yes;yes;NA;2018;BOX;BIB;BIB13;0.020927604;0.201182496;161353;BT;K7V5713;10.4;16;39;53;NA;1;1;urban;urban_forest;0;low;52.29927;20.95132;0.3;17.38;8410.37;1575.424;0.86244;56.858;171;1.7;55.52;1;A01;N716;S502;68.5646;29474;Sample
BM016;yes;yes;yes;NA;2018;BOX;BIB;BIB14;0.753393751;1.278945865;161354;BT;K8Y6197;10.1;16.3;44;58;12:43;1;1;urban;urban_forest;0;low;52.29911;20.95227;0;17.38;8364.67;1239.895;0.86929;57.417;162.7;39.6;56.1842;1;H02;N718;S511;58.5983;2602;Sample
BM028;yes;yes;yes;NA;2018;BOX;BIB;BIB25;-0.418552084;-0.445475526;161366;BT;K7V4954;12.6;16.4;36;50;13:00;1;1;urban;urban_forest;0;low;52.29867;20.95231;0.15;17.38;8319.94;1344.4;0.87043;55.442;206.2;21.2;57.4722;1;D04;N720;S506;32.3478;7998;Sample
BM063;yes;yes;yes;NA;2018;BOX;BIB;BIB27;-0.418552084;-0.445475526;161368;BT;K7V5622;12;16.5;36;50;12:02;1;1;urban;urban_forest;0;low;52.29893;20.95098;0.05;17.38;8387.7;1821.568;0.85252;55.475;216.4;34.1;56.1067;1;G08;N724;S510;23.895;6157;Sample
BM059;yes;yes;yes;NA;2018;BOX;BIB;BIB40;0.313914063;0.632287843;161383;BT;K8Y6153;10.5;16.8;41;55;14:06;1;1;urban;urban_forest;0;low;52.29811;20.95094;0.2;17.38;8308.46;1623.749;0.84427;55.058;300.5;46.8;62.3288;1;C08;N724;S505;60.8129;9519;Sample
BM029;yes;yes;yes;NA;2019;BOX;BIB;BIB51;1.833403405;NA;161834;BT;K4Z3130;11.7;17.3;60;74;08:30;1;2;urban;urban_forest;0;low;52.29721;20.9522;0.05;17.25;8179.63;1489.056;0.86765;56.492;359.8;6.1;68.1579;1;E04;N720;S507;40.2778;11163;Sample
BM047;yes;yes;yes;NA;2018;BOX;BIB;BIB52;-0.272058854;-0.229922852;161396;BT;K7V4975;12.6;17.4;37;51;NA;1;1;urban;urban_forest;0;low;52.29761;20.95196;0.05;17.38;8226.61;1506.848;0.86808;53.333;322.9;9.1;65.1558;1;G06;N722;S510;56.7176;10187;Sample
BM022;yes;yes;yes;NA;2018;BOX;BIB;BIB53;2.657805732;4.081130625;161397;BT;K8Y6243;8.9;15.5;57;71;10:40;0;1;urban;urban_forest;0;low;52.29718;20.95289;0;17.25;8154.67;1554.695;0.87141;52;346.1;50.8;68.9079;1;F03;N719;S508;43.0975;8516;Sample
BM072;yes;yes;yes;NA;2018;BOX;BIB;BIB57;-0.565045313;-0.6610282;161401;BT;K7V4941;10.4;15.6;35;49;12:20;1;1;urban;urban_forest;0;low;52.29616;20.9537;1.05;17.25;8028.49;1552.609;0.87266;53.758;202.3;11;70.3816;1;H09;N726;S511;62.3348;7526;Sample
BM006;yes;yes;yes;NA;2018;BOX;BIB;BIB58;0.460407292;0.847840517;161402;BT;K8Y6130;10.6;16.3;42;56;11:40;1;1;urban;urban_forest;0;low;52.29658;20.9536;0.55;17.25;8073.04;1582.104;0.87449;51.633;252.5;10.9;68.4306;1;F01;N716;S508;20.1895;18057;Sample
BM011;yes;yes;yes;NA;2018;BOX;BIB;BIB6;-0.565045313;-0.6610282;161404;BT;K7V5604;11.4;16.4;35;49;11:00;1;1;urban;urban_forest;4.0947;high;52.29912;20.95499;0.5;17.42;8282.19;2210.55;0.80599;64.442;89.3;12.2;55.6579;1;C02;N718;S505;63.5735;10737;Sample
BM031;yes;yes;yes;NA;2019;BOX;BIB;BIB60;-0.463820432;-0.372052172;161844;BT;K4Z2143;8.1;19.3;35;49;12:50;1;1;urban;urban_forest;0;low;52.29684;20.95431;0.8;17.25;8076.39;1802.896;0.87416;53.125;264.7;3.4;65.2535;1;G04;N720;S510;63.2166;17396;Sample
BM026;yes;yes;yes;NA;2019;BOX;BIB;BIB64;-0.371931478;-0.124017391;161848;BT;K4Z2761;10.5;16.3;36;50;NA;1;1;urban;urban_forest;0;low;52.29684;20.95498;0.25;17.25;8055.56;1838.868;0.87348;52.725;225.4;35.7;63.4286;1;B04;N720;S503;20.9319;12643;Sample
BM044;yes;yes;yes;NA;2018;BOX;BIB;BIB7;-0.858031772;-1.092133548;161411;BT;K7V4930;11.1;17.5;33;47;11:35;1;1;urban;urban_forest;2.9885;high;52.29928;20.95431;0.65;17.42;8318.69;2352.244;0.79978;62.367;90.5;1.9;55.0139;1;D06;N722;S506;37.5209;2932;Sample
BM018;yes;yes;yes;NA;2018;BOX;BIB;BIB8;-0.418552084;-0.445475526;161412;BT;K7V4961;10.8;16.4;36;50;14:12;1;1;urban;urban_forest;2.0585;low;52.29934;20.95361;0.8;17.42;8346;2001.876;0.82632;64.825;104;2.3;54.8533;1;B03;N719;S503;37.0744;6181;Sample
BM113;yes;yes;yes;NA;2019;BOX;BIB;BIB8;-0.280042525;0.124017391;161851;BT;K4Z2238;10.8;17;37;51;06:38;1;1;urban;urban_forest;2.0585;low;52.29934;20.95361;0.8;17.42;8346;2001.876;0.82632;64.825;104;2.3;54.8533;2;B03;N719;S503;53.1568;5098;Sample
BM056;yes;yes;no;NA;2018;NAT;BIE;BT12;NA;NA;NA;BT;K8Y6109;10.8;16.9;38;51;NA;1;1;urban;urban_forest;0.8052;low;52.29354;20.96097;NA;NA;7542.44;1380;NA;NA;322.5;8.3;54.8961;1;H07;N723;S511;60.6714;20639;Sample
BM061;yes;yes;no;NA;2018;NAT;BIE;BT15;NA;NA;NA;BT;K7V5818;11.1;16.9;39;53;NA;1;1;urban;urban_forest;0;low;52.29081;20.95141;NA;NA;7566.37;2580;NA;NA;14.4;3.2;57.7143;1;E08;N724;S507;36.1438;10050;Sample
BM106;yes;yes;no;NA;2019;NAT;BIE;BT21;NA;NA;NA;BT;K4Z2173;10.2;16;31;45;NA;1;1;urban;urban_forest;0;low;52.29227;20.95338;NA;NA;7643.67;1990;NA;NA;68.7;18.9;65.8267;2;C02;N718;S505;24.303;1698;Sample
BM027;yes;yes;no;NA;2019;NAT;BIE;BT27;NA;NA;NA;BT;K4Z2783;11.4;16.7;36;50;NA;1;1;urban;urban_forest;14.6104;high;52.2945;20.95917;NA;NA;7690.3;1260;NA;NA;159.6;3.7;35.6623;1;C04;N720;S505;18.6812;16454;Sample
BM042;yes;yes;no;NA;2018;NAT;BIE;BT27;NA;NA;NA;BT;K7V5774;11;16.9;36;50;NA;1;1;urban;urban_forest;0;low;52.2935;20.95649;NA;NA;7668.45;1390;NA;NA;134.5;2.8;60.9487;1;B06;N722;S503;27.8184;12610;Sample
BM068;no;no;no;replicate;2018;NAT;BIE;BT27;NA;NA;NA;BT;K7V5768;10.9;16.8;36;50;NA;1;1;urban;urban_forest;NA;high;52.2935;20.95649;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;D09;N726;S506;22.4581;12073;Sample
BM052;yes;yes;no;NA;2018;NAT;BIE;BT29;NA;NA;NA;BT;K8Y6209;10.8;16.9;42;58;NA;1;1;urban;urban_forest;1.4935;low;52.29378;20.96224;NA;NA;7531.9;1260;NA;NA;252.4;9.7;56.2208;1;D07;N723;S506;52.7834;14098;Sample
BM008;yes;yes;no;NA;2018;NAT;BIE;BT3;NA;NA;NA;BT;K7V5783;12.2;17.2;36;50;NA;1;1;urban;urban_forest;0;low;52.29315;20.95936;NA;NA;7548.71;1260;NA;NA;277.1;1.2;54.2133;1;H01;N716;S511;77.1553;13042;Sample
BM030;yes;yes;no;NA;2019;NAT;BIE;BT30;NA;NA;NA;BT;K4Z2314;11.9;17.4;35;50;NA;1;1;urban;urban_forest;0;low;52.29416;20.95709;NA;NA;7716.46;1390;NA;NA;90.1;8.9;58.0933;1;F04;N720;S508;46.5194;8393;Sample
BM058;yes;yes;no;NA;2018;NAT;BIE;BT32;NA;NA;NA;BT;K8Y6116;11.1;16.5;38;51;NA;1;1;urban;urban_forest;5.75;high;52.29407;20.95923;NA;NA;7645.18;1260;NA;NA;197.7;13.5;47.7237;1;B08;N724;S503;46.7069;17205;Sample
